step,avg_delay,avg_queue,max_queue,throughput,cumulative_reward
1000,42.27710843373494,1.3333333333333333,2,0,-88.8875502008032
1001,42.433734939759034,1.3333333333333333,2,0,-178.0883534136546
1002,41.18072289156626,1.3333333333333333,2,2,-258.78313253012044
1003,41.109756097560975,1.1666666666666667,2,1,-342.16931139190905
1004,40.25595238095238,1.0833333333333333,2,0,-426.7645494871471
1005,40.126506024096386,0.8333333333333334,2,1,-507.8508948686732
1006,40.2289156626506,0.6666666666666666,2,0,-591.975392860641
1007,40.31927710843374,0.6666666666666666,2,0,-676.2806137441752
1008,40.40963855421687,0.6666666666666666,2,0,-760.7665575192756
1009,40.506024096385545,0.9166666666666666,2,0,-845.6952723787133
1010,41.073170731707314,0.9166666666666666,2,1,-928.7582805087945
1011,40.68674698795181,1.0833333333333333,2,0,-1014.2151078180315
1012,40.795180722891565,1.25,2,0,-1100.0554692638145
1013,40.89156626506024,1.1666666666666667,2,0,-1186.0052684606017
1014,41.01807228915663,1.1666666666666667,2,0,-1272.2080797055817
1015,41.16867469879518,1.25,2,0,-1358.795429103172
1016,41.30722891566265,1.25,2,0,-1445.6598869344973
1017,41.0,1.25,2,0,-1531.9098869344973
1018,41.18452380952381,1.25,2,0,-1618.528934553545
1019,41.36904761904762,1.3333333333333333,2,0,-1705.6003631249737
1020,41.55357142857143,1.3333333333333333,2,0,-1793.0408393154498
1021,41.27058823529412,1.3333333333333333,2,0,-1879.9153491193715
1022,40.45238095238095,1.3333333333333333,2,2,-1959.1534443574667
1023,39.626506024096386,1.3333333333333333,2,2,-2036.7397897389928
1024,39.36904761904762,1.3333333333333333,2,0,-2119.8112183104213
1025,39.56547619047619,1.3333333333333333,2,0,-2203.275504024707
1026,39.74404761904762,1.3333333333333333,2,0,-2287.0969325961355
1027,39.916666666666664,1.0,2,0,-2370.930265929469
1028,39.6,0.8333333333333334,2,0,-2453.9635992628023
1029,39.741176470588236,0.6666666666666666,2,0,-2537.1126188706453
1030,39.44186046511628,0.75,2,0,-2619.7463398008776
1031,39.61046511627907,0.6666666666666666,2,0,-2702.6339367001024
1032,39.298850574712645,0.6666666666666666,2,0,-2784.8983045161945
1033,39.49425287356322,0.9166666666666666,2,0,-2867.8034769299875
1034,39.660919540229884,1.0,2,0,-2951.125316010447
1035,39.833333333333336,1.1666666666666667,2,0,-3034.9586493437805
1036,40.01724137931034,1.3333333333333333,2,0,-3119.3264654357345
1037,39.72727272727273,1.3333333333333333,2,0,-3203.1143442236134
1038,39.91477272727273,1.3333333333333333,2,0,-3287.2772230114924
1039,40.09659090909091,1.3333333333333333,2,0,-3371.8037381630074
1040,40.26704545454545,1.3333333333333333,2,0,-3456.6711624054315
1041,40.44886363636363,1.3333333333333333,2,0,-3541.902223011492
1042,40.64204545454545,1.3333333333333333,2,0,-3627.519647253916
1043,40.37640449438202,1.4166666666666667,2,0,-3712.6891229093467
1044,40.56741573033708,1.4166666666666667,2,0,-3798.2406210366876
1045,40.30555555555556,1.4166666666666667,2,0,-3883.2683988144654
1046,40.032967032967036,1.3333333333333333,2,0,-3967.667666213733
1047,38.84065934065934,1.3333333333333333,2,2,-4043.6823182283847
1048,38.78333333333333,1.1666666666666667,2,1,-4122.415651561718
1049,38.92777777777778,1.0833333333333333,2,0,-4204.354540450607
1050,39.03333333333333,0.8333333333333334,2,0,-4286.254540450606
1051,39.57865168539326,0.8333333333333334,2,1,-4366.245177154726
1052,39.47727272727273,0.6666666666666666,2,1,-4445.866389275938
1053,39.56818181818182,0.6666666666666666,2,0,-4528.669419578968
1054,39.69886363636363,1.0,2,0,-4612.067146851695
1055,39.8125,1.0,2,0,-4695.692146851695
1056,39.92613636363637,1.0,2,0,-4779.544419578968
1057,40.05113636363637,1.25,2,0,-4863.896692306241
1058,40.17613636363637,1.1666666666666667,2,0,-4948.41563170018
1059,40.32386363636363,1.1666666666666667,2,0,-5033.230025639574
1060,40.45454545454545,1.1666666666666667,2,0,-5118.305783215332
1061,40.56818181818182,1.25,2,0,-5203.692146851696
1062,40.71022727272727,1.25,2,0,-5289.362601397151
1063,40.86363636363637,1.25,2,0,-5375.339874124424
1064,41.01704545454545,1.3333333333333333,2,0,-5461.707298366848
1065,41.18181818181818,1.3333333333333333,2,0,-5548.404268063818
1066,41.36363636363637,1.3333333333333333,2,0,-5635.464874124424
1067,40.10227272727273,1.3333333333333333,2,2,-5714.002752912303
1068,40.01149425287356,1.3333333333333333,2,1,-5795.359074751383
1069,39.45977011494253,1.3333333333333333,2,1,-5875.611948314601
1070,39.62068965517241,1.3333333333333333,2,0,-5959.186660958279
1071,39.78735632183908,1.0,2,0,-6042.7613736019575
1072,40.406976744186046,0.9166666666666666,2,1,-6124.491993756997
1073,40.5406976744186,0.75,2,0,-6209.3233891058335
1074,40.69186046511628,0.75,2,0,-6294.457110036066
1075,40.81976744186046,0.6666666666666666,2,0,-6379.763311586454
1076,40.97093023255814,0.6666666666666666,2,0,-6465.371838718237
1077,41.151162790697676,0.75,2,0,-6551.424164299632
1078,41.14705882352941,1.0,2,1,-6634.718281946691
1079,41.32941176470588,1.1666666666666667,2,0,-6721.543772142769
1080,41.49411764705882,1.3333333333333333,2,0,-6808.8653407702195
1081,42.154761904761905,1.3333333333333333,2,1,-6894.508197913076
1082,42.351190476190474,1.3333333333333333,2,0,-6983.543912198791
1083,42.55952380952381,1.3333333333333333,2,0,-7072.996293151172
1084,42.76190476190476,1.3333333333333333,2,0,-7162.853436008315
1085,42.982142857142854,1.3333333333333333,2,0,-7253.151055055934
1086,43.208333333333336,1.3333333333333333,2,0,-7343.901055055934
1087,43.42261904761905,1.3333333333333333,2,0,-7435.079626484506
1088,43.63690476190476,1.3333333333333333,2,0,-7526.686769341649
1089,43.86904761904762,1.3333333333333333,2,0,-7618.758197913077
1090,43.0406976744186,1.3333333333333333,2,0,-7709.172926595248
1091,42.22352941176471,1.3333333333333333,2,2,-7791.953318752111
1092,40.94117647058823,1.3333333333333333,2,2,-7872.169005026621
1093,41.076470588235296,1.1666666666666667,2,0,-7958.488612869758
1094,41.205882352941174,1.0,2,0,-8044.90037757564
1095,41.31764705882353,0.8333333333333334,2,0,-8131.3690050266205
1096,41.411764705882355,0.9166666666666666,2,0,-8218.109201105051
1097,41.5,0.6666666666666666,2,0,-8304.775867771717
1098,41.57058823529412,0.6666666666666666,2,0,-8391.583710908972
1099,41.65294117647059,1.0,2,0,-8478.889593261913
1100,41.741176470588236,1.0,2,0,-8566.37194620309
1101,41.82941176470588,1.1666666666666667,2,0,-8654.197436399169
1102,41.911764705882355,1.25,2,0,-8742.270965810932
1103,41.99411764705882,1.1666666666666667,2,0,-8830.425867771717
1104,42.11176470588235,1.1666666666666667,2,0,-8918.816063850149
1105,42.241176470588236,1.1666666666666667,2,0,-9007.465083457992
1106,42.39411764705882,1.25,2,0,-9096.50331875211
1107,42.57058823529412,1.25,2,0,-9185.894495222698
1108,42.758823529411764,1.25,2,0,-9275.66214228152
1109,42.95882352941177,1.3333333333333333,2,0,-9365.913122673677
1110,43.13529411764706,1.3333333333333333,2,0,-9456.517044242304
1111,43.05952380952381,1.3333333333333333,2,1,-9543.969425194686
1112,41.94705882352941,1.3333333333333333,2,1,-9629.196876175078
1113,40.582352941176474,1.0,2,2,-9708.36158205743
1114,40.741176470588236,0.9166666666666666,2,0,-9793.760601665273
1115,40.870588235294115,0.6666666666666666,2,0,-9879.168444802528
1116,40.52325581395349,0.75,2,0,-9963.964956430435
1117,40.645348837209305,0.6666666666666666,2,0,-10048.92232077152
1118,40.74418604651163,0.6666666666666666,2,0,-10134.077359531211
1119,40.848837209302324,0.6666666666666666,2,0,-10219.441700616482
1120,40.94186046511628,0.6666666666666666,2,0,-10304.992088213381
1121,41.02906976744186,0.6666666666666666,2,0,-10390.71689441493
1122,41.08720930232558,0.6666666666666666,2,0,-10476.55797968625
1123,41.156976744186046,0.6666666666666666,2,0,-10562.538599841288
1124,41.23837209302326,1.0,2,0,-10649.015344027333
1125,41.33139534883721,1.0,2,0,-10735.678134725007
1126,41.43023255813954,1.0,2,0,-10822.538599841286
1127,41.54651162790697,1.3333333333333333,2,0,-10909.964956430433
1128,41.674418604651166,1.3333333333333333,2,0,-10997.647126973068
1129,41.83139534883721,1.3333333333333333,2,0,-11085.643251004076
1130,41.04545454545455,1.3333333333333333,2,0,-11172.067493428318
1131,41.22159090909091,1.3333333333333333,2,0,-11258.844008579834
1132,40.943820224719104,1.3333333333333333,2,0,-11345.064982362604
1133,40.17613636363637,1.3333333333333333,2,2,-11423.75058842321
1134,39.79651162790697,1.3333333333333333,2,2,-11501.676945012357
1135,39.9593023255814,1.3333333333333333,2,0,-11585.928882996854
1136,39.9,1.3333333333333333,2,1,-11667.062216330187
1137,39.62048192771084,1.1666666666666667,2,2,-11744.469846852275
1138,39.0722891566265,1.0,2,1,-11823.614425165528
1139,39.22289156626506,0.8333333333333334,2,0,-11905.89354163139
1140,38.875,0.6666666666666666,2,0,-11987.310208298057
1141,38.964285714285715,0.6666666666666666,2,0,-12068.905446393295
1142,38.61176470588235,0.6666666666666666,2,0,-12149.795642471727
1143,38.705882352941174,1.0,2,0,-12231.20740717761
1144,38.30813953488372,0.9166666666666666,2,0,-12311.740352914043
1145,38.325581395348834,1.1666666666666667,2,1,-12389.558182371407
1146,38.372093023255815,1.25,2,0,-12470.552368417919
1147,38.41860465116279,1.1666666666666667,2,0,-12551.556244386911
1148,38.5,1.1666666666666667,2,0,-12632.722911053577
1149,38.593023255813954,1.25,2,0,-12714.158957565205
1150,38.68604651162791,1.25,2,0,-12795.78105058846
1151,38.83720930232558,1.25,2,0,-12877.705469193112
1152,39.00581395348837,1.25,2,0,-12959.967097100089
1153,39.174418604651166,1.3333333333333333,2,0,-13042.649267642724
1154,39.377906976744185,1.3333333333333333,2,0,-13125.738414929547
1155,38.843023255813954,1.3333333333333333,2,1,-13204.757794774509
1156,38.2906976744186,1.3333333333333333,2,1,-13282.672523456678
1157,37.423529411764704,1.3333333333333333,2,2,-13355.852915613541
1158,37.18023255813954,1.25,2,0,-13434.46338072982
1159,37.372093023255815,1.0,2,0,-13513.207566776331
1160,37.5406976744186,1.0,2,0,-13592.288962125169
1161,37.69767441860465,0.6666666666666666,2,0,-13671.350977629045
1162,37.86046511627907,0.75,2,0,-13750.821907861602
1163,38.44117647058823,0.6666666666666666,2,1,-13828.370927469445
1164,38.59411764705882,0.6666666666666666,2,0,-13909.225829430228
1165,38.28488372093023,1.0,2,0,-13989.795596872089
1166,38.406976744186046,1.0,2,0,-14070.609550360461
1167,38.54651162790697,1.25,2,0,-14151.952573616276
1168,38.68604651162791,1.3333333333333333,2,0,-14233.657999972866
1169,38.81395348837209,1.3333333333333333,2,0,-14315.619240282944
1170,38.97674418604651,1.3333333333333333,2,0,-14397.90606198837
1171,39.11046511627907,1.3333333333333333,2,0,-14480.46032555426
1172,39.27325581395349,1.3333333333333333,2,0,-14563.340170515501
1173,39.45348837209303,1.3333333333333333,2,0,-14646.58048059302
1174,39.63953488372093,1.3333333333333333,2,0,-14730.192883693795
1175,39.825581395348834,1.3333333333333333,2,0,-14814.177379817826
1176,40.02325581395349,1.3333333333333333,2,0,-14898.557224779066
1177,40.19186046511628,1.3333333333333333,2,0,-14983.274279042633
1178,39.42045454545455,1.3333333333333333,2,0,-15066.448521466875
1179,37.96551724137931,1.25,2,3,-15137.629555949634
1180,37.854651162790695,1.1666666666666667,2,1,-15214.505524941882
1181,37.55172413793103,1.0,2,0,-15293.608973217744
1182,37.660919540229884,0.8333333333333334,2,0,-15372.764145631538
1183,37.775862068965516,0.75,2,0,-15452.065869769469
1184,37.867816091954026,0.6666666666666666,2,0,-15531.468168620044
1185,37.94827586206897,0.6666666666666666,2,0,-15611.031387010848
1186,38.05172413793103,1.0,2,0,-15691.13483528671
1187,38.54651162790697,1.0,2,1,-15769.227858542525
1188,38.645348837209305,1.25,2,0,-15850.768556216943
1189,38.75,1.1666666666666667,2,0,-15932.435222883609
1190,38.86046511627907,1.1666666666666667,2,0,-16014.322819782834
1191,38.97674418604651,1.1666666666666667,2,0,-16096.442974821593
1192,39.116279069767444,1.1666666666666667,2,0,-16178.842199627796
1193,39.25,1.25,2,0,-16261.592199627796
1194,39.424418604651166,1.25,2,0,-16344.691036837097
1195,39.616279069767444,1.25,2,0,-16428.173594976633
1196,39.80232558139535,1.3333333333333333,2,0,-16512.111579472756
1197,40.01162790697674,1.3333333333333333,2,0,-16596.468168620042
1198,39.654761904761905,1.3333333333333333,2,2,-16674.1110257629
1199,38.93023255813954,1.3333333333333333,2,0,-16756.30482421251
1200,38.811764705882354,1.3333333333333333,2,1,-16835.26168695761
1201,38.10344827586207,1.25,2,0,-16915.718583509333
1202,38.2816091954023,1.0,2,0,-16996.28180190014
1203,38.63529411764706,0.9166666666666666,2,2,-17071.4690568021
1204,38.811764705882354,0.75,2,0,-17152.842586213865
1205,38.98823529411764,0.75,2,0,-17234.5690568021
1206,39.15294117647059,0.6666666666666666,2,0,-17316.541605821705
1207,39.31764705882353,0.6666666666666666,2,0,-17398.843566606018
1208,39.51176470588236,0.9166666666666666,2,0,-17481.78376268445
1209,39.66470588235294,1.0,2,0,-17565.113174449154
1210,39.81764705882353,1.3333333333333333,2,0,-17649.081801900134
1211,39.970588235294116,1.3333333333333333,2,0,-17733.356311704058
1212,40.11176470588235,1.3333333333333333,2,0,-17817.913174449157
1213,40.28823529411765,1.3333333333333333,2,0,-17902.822978370725
1214,40.476470588235294,1.3333333333333333,2,0,-17988.109252880527
1215,40.67058823529412,1.3333333333333333,2,0,-18073.78376268445
1216,40.86470588235294,1.3333333333333333,2,0,-18159.846507782488
1217,41.07058823529412,1.3333333333333333,2,0,-18246.321017586408
1218,41.27647058823529,1.3333333333333333,2,0,-18333.207292096213
1219,41.48235294117647,1.3333333333333333,2,0,-18420.5053313119
1220,41.43452380952381,1.3333333333333333,2,1,-18504.70771226428
1221,40.17857142857143,1.3333333333333333,2,2,-18583.398188454757
1222,40.10843373493976,1.3333333333333333,2,1,-18664.94838925797
1223,39.34117647058824,1.1666666666666667,2,0,-18747.797408865812
1224,39.48235294117647,1.0,2,0,-18830.762114748166
1225,39.60588235294118,0.8333333333333334,2,0,-18913.807212787382
1226,39.73529411764706,0.6666666666666666,2,0,-18996.944467689344
1227,39.84117647058824,0.6666666666666666,2,0,-19080.293487297185
1228,39.93529411764706,0.6666666666666666,2,0,-19163.830742199145
1229,40.023529411764706,1.0,2,1,-19244.877801022674
1230,40.1,0.9166666666666666,2,0,-19328.99446768934
1231,40.17058823529412,1.0833333333333333,2,0,-19413.41897749326
1232,40.258823529411764,1.1666666666666667,2,0,-19498.10329121875
1233,40.33529411764706,1.1666666666666667,2,0,-19582.940546120713
1234,40.45294117647059,1.1666666666666667,2,0,-19668.013095140323
1235,40.56470588235294,1.25,2,0,-19753.392506905027
1236,40.6764705882353,1.25,2,0,-19838.9954480815
1237,40.84705882352941,1.25,2,0,-19924.939565728557
1238,41.01764705882353,1.25,2,0,-20011.224859846203
1239,41.205882352941174,1.3333333333333333,2,0,-20097.96995788542
1240,41.411764705882355,1.3333333333333333,2,0,-20185.126820630518
1241,40.55952380952381,1.3333333333333333,2,2,-20264.5792015829
1242,39.5,1.3333333333333333,2,1,-20344.91253491623
1243,39.65294117647059,1.25,2,0,-20428.468417269174
1244,38.89655172413793,1.0,2,0,-20510.26152071745
1245,38.76744186046512,0.75,2,1,-20588.54640443838
1246,38.901162790697676,0.75,2,0,-20670.098730019778
1247,39.0406976744186,0.6666666666666666,2,0,-20751.84679203528
1248,39.156976744186046,0.6666666666666666,2,0,-20833.82741219032
1249,39.28488372093023,0.6666666666666666,2,0,-20916.063846298846
1250,39.41860465116279,0.9166666666666666,2,0,-20998.81772226784
1251,39.51744186046512,1.0,2,0,-21081.85260598877
1252,39.622093023255815,1.3333333333333333,2,0,-21165.430125368614
1253,39.73837209302326,1.3333333333333333,2,0,-21249.240202887995
1254,39.843023255813954,1.3333333333333333,2,0,-21333.259582732957
1255,39.98837209302326,1.3333333333333333,2,0,-21417.56966025234
1256,40.127906976744185,1.3333333333333333,2,0,-21502.15880753916
1257,40.27325581395349,1.3333333333333333,2,0,-21587.0386525004
1258,40.47674418604651,1.3333333333333333,2,0,-21672.325474205827
1259,40.66860465116279,1.3333333333333333,2,0,-21757.996016841487
1260,40.877906976744185,1.3333333333333333,2,0,-21844.085164128308
1261,41.116279069767444,1.3333333333333333,2,0,-21930.651055601174
1262,41.31976744186046,1.3333333333333333,2,0,-22017.623923818228
1263,40.06395348837209,1.3333333333333333,2,2,-22096.085164128304
1264,39.75595238095238,1.25,2,2,-22173.84706889021
1265,39.00581395348837,1.1666666666666667,2,0,-22256.025363463854
1266,39.16860465116279,1.0833333333333333,2,0,-22338.445906099514
1267,39.77058823529412,0.8333333333333334,2,1,-22418.820415903436
1268,39.92941176470588,0.75,2,0,-22502.429239432848
1269,40.05294117647059,0.6666666666666666,2,0,-22586.201788452454
1270,40.18235294117647,0.6666666666666666,2,0,-22670.233161001473
1271,40.31764705882353,0.9166666666666666,2,0,-22754.785121785786
1272,40.411764705882355,1.0,2,0,-22839.60865119755
1273,40.51764705882353,1.1666666666666667,2,0,-22924.810611981866
1274,40.588235294117645,1.25,2,0,-23010.2370825701
1275,40.641176470588235,1.1666666666666667,2,0,-23095.686102177944
1276,40.752941176470586,1.1666666666666667,2,0,-23181.35865119755
1277,40.84117647058824,1.1666666666666667,2,0,-23267.207670805394
1278,40.94705882352941,1.25,2,0,-23353.35178845245
1279,41.076470588235296,1.25,2,0,-23439.754729628923
1280,41.252941176470586,1.25,2,0,-23526.510611981863
1281,41.44117647058823,1.3333333333333333,2,0,-23613.726298256373
1282,41.641176470588235,1.3333333333333333,2,0,-23701.34198453088
1283,41.84117647058824,1.3333333333333333,2,0,-23789.35767080539
1284,40.529411764705884,1.3333333333333333,2,2,-23868.749827668136
1285,40.16867469879518,1.3333333333333333,2,2,-23947.42051039906
1286,39.411764705882355,1.3333333333333333,2,0,-24030.57737314416
1287,39.576470588235296,1.3333333333333333,2,0,-24114.063647653962
1288,39.741176470588236,1.0,2,0,-24197.54600059514
1289,39.90588235294118,0.9166666666666666,2,0,-24281.27443196769
1290,40.04705882352941,0.6666666666666666,2,0,-24365.035216281416
1291,40.194117647058825,0.75,2,0,-24449.173451575534
1292,40.791666666666664,0.6666666666666666,2,1,-24531.423451575534
1293,40.92857142857143,0.6666666666666666,2,0,-24616.947261099343
1294,41.089285714285715,0.6666666666666666,2,0,-24702.79249919458
1295,40.72352941176471,1.0,2,0,-24788.23955801811
1296,40.84705882352941,1.1666666666666667,2,0,-24874.100342331836
1297,40.976470588235294,1.3333333333333333,2,0,-24960.38661684164
1298,41.1,1.3333333333333333,2,0,-25046.91995017497
1299,41.247058823529414,1.3333333333333333,2,0,-25133.747401155364
1300,41.4,1.3333333333333333,2,0,-25220.8807344887
1301,41.55294117647059,1.3333333333333333,2,0,-25308.319950174973
1302,41.752941176470586,1.3333333333333333,2,0,-25396.15916586125
1303,41.95882352941177,1.3333333333333333,2,0,-25484.410146253405
1304,42.16470588235294,1.3333333333333333,2,0,-25573.072891351443
1305,42.38823529411765,1.3333333333333333,2,0,-25662.18269527301
1306,42.59411764705882,1.3333333333333333,2,0,-25751.70426390046
1307,41.3,1.3333333333333333,2,2,-25832.637597233796
1308,40.752941176470586,1.3333333333333333,2,1,-25915.47681292007
1309,40.917647058823526,1.1666666666666667,2,0,-26001.478773704384
1310,40.358823529411765,1.0,2,1,-26083.196420763208
1311,40.5,0.8333333333333334,2,0,-26168.02975409654
1312,40.66470588235294,0.6666666666666666,2,0,-26253.025832527914
1313,40.805882352941175,0.6666666666666666,2,0,-26338.304263900463
1314,40.44186046511628,0.6666666666666666,2,0,-26422.854651497364
1315,40.58139534883721,1.0,2,0,-26508.01744219504
1316,40.69186046511628,0.9166666666666666,2,0,-26593.31782979194
1317,40.80232558139535,1.1666666666666667,2,0,-26679.0891476214
1318,40.91860465116279,1.25,2,0,-26765.176356923723
1319,41.00581395348837,1.1666666666666667,2,0,-26851.354651497368
1320,41.133720930232556,1.1666666666666667,2,0,-26937.7887600245
1321,41.26744186046512,1.1666666666666667,2,0,-27024.490310412097
1322,41.406976744186046,1.25,2,0,-27111.554263900467
1323,41.58139534883721,1.25,2,0,-27198.967054598143
1324,41.77906976744186,1.25,2,0,-27286.775194133028
1325,41.97093023255814,1.3333333333333333,2,0,-27375.05038793148
1326,42.16860465116279,1.3333333333333333,2,0,-27463.72093056714
1327,42.36046511627907,1.3333333333333333,2,0,-27552.77519413303
1328,40.73529411764706,1.3333333333333333,2,3,-27629.579115701657
1329,40.63095238095238,1.25,2,1,-27712.091020463562
1330,40.311764705882354,1.0,2,1,-27793.714549875327
1331,40.44705882352941,0.8333333333333334,2,0,-27878.44200085572
